Station_Name,total_trains,unique_trains
MANTHRALAYAM,64,64
SHAHDOL,64,64
SHAHGANJ JN.,63,63
AHMADNAGAR,63,63
NAGERCOIL JN,63,63
HAPA,63,63
BAHIR KHANDA,63,63
MADHUSUDANPU,63,63
ALWAR JN.,63,63
LOKNATH,63,63
MANINAGAR,63,63
DHURI JN.,63,63
KAIKALA,63,63
MAYILADUTURA,63,63
SIMLAGARH,62,62
KAWR,62,62
KHADKI,62,62
MANCHIRYAL,62,62
SANHATI,62,62
DEBIPUR,62,62
BUDGE BUDGE,62,62
ABHAIPUR,62,62
BRACE BRIDGE,62,62
AKRA,62,62
SANTOSH PUR,62,62
BAGILA,62,62
NANGI,62,62
BALICHAK,62,62
BAINCHI GRAM,62,62
MAKSI JN,61,61
SADAR BAZAR,61,61
RAJA-KI-MAND,61,61
RAMPUR,61,61
MAIHAR,61,61
VADAKARA,60,60
GUNA,60,60
VIKRABAD JN.,60,60
BIDYADHARPUR,60,60
KALIKAPUR,60,60
CHAMPAHATI,60,60
DEGANA JN.,60,60
BAHADURGARH,59,59
GHAZIPUR CIT,59,59
GHUTIARI SHA,59,59
KAMAREDDI,59,59
MAHBUBABAD,58,58
HAUR,58,58
HARDA,58,58
NECKLACE ROA,58,58
HISAR JN,58,57
CANNING,58,58
RAIGARH,58,58
DILDARNAGAR,58,58
AGRA  FORT,58,58
TALDI,58,58
ALIPUR DUAR,58,42
LAKDI KA PUL,58,58
RAYAGADA JN.,58,58
AYODHYA,58,58
TALEGAON,58,58
AMBALA CITY,58,58
NAUGACHIA,57,57
GURAP,57,57
GOURDAHA (HA,57,57
MORENA,57,57
BELMURI,57,57
GADWAL,57,57
VIRAR,57,57
RADHAMOHANPU,57,57
MUZAFFARNAGA,57,57
SULTANGANJ,57,57
PIALI,57,57
RAMGANJ MAND,57,57
KASARA,57,57
BHILAI POWER,57,57
CUDDAPAH,57,57
ADONI,57,57
MATHURAPUR R,56,56
SUBZI MANDI,56,56
CHANDRAPURA,56,56
HAJIGARH,56,56
DAYA BASTI,56,56
HOTAR,56,56
LUNI JN.,56,56
MAGRAHAT,56,56
TUGALAKABAD,56,56
NERUL,56,56
VIVEKANANDPU,56,56
BOLARUM,56,56
GANGAPUR CIT,56,56
GOCHARAN,56,56
BIRNAGAR,56,56
AMETHI,56,56
KALYANPUR,56,56
DHAPDHAPI,56,56
JAYNAGAR MAJ,56,56
MANGALORE CE,56,56
PORA BAZAR,56,56
KASGANJ JN.,56,56
AMBIKA KALNA,56,56
BAHARU F,56,56
TAHERPUR,56,56
DAKSHIN BARA,56,56
OTTAPPALAM,56,56
DAKSHIN DURG,56,56
SURJYAPUR,56,56
BADKULLA,56,56
KOVILPATTI,56,56
JAKHAL JN.,55,55
MASAGRAM,55,55
CHIPLUN,55,55
TUNI,55,55
HOGLAHALT E,55,55
VIVEK VIHAR,55,55
KAVALI,55,55
DURGAPURA,55,55
CHHEOKI,55,55
JAMNAGAR,55,55
NABAGRAM,54,54
YADGIR,54,54
UTTAR RADHAN,54,54
UDHNA JN.,54,54
BARHARWA JN.,54,54
DHAMUA,54,54
BASULDANGA,54,54
JAUGRAM,54,54
OKHLA,54,54
AMLA JN.,54,54
NETRA,54,54
MADHABPUR,54,54
